crop,state,season,soil_type,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,land_area_acres,yield_per_acre,total_yield
Potato,Madhya Pradesh,Rabi,Black Soil,391.5,33.6,7.1,213.8,79.8,157.1,3.1,99.03,304.42
Maize,Karnataka,Rabi,Red Soil,1362.9,22.2,6.7,255.0,30.6,74.3,9.5,25.44,241.15
Onion,Madhya Pradesh,Zaid,Loamy,877.9,33.7,6.8,188.5,29.4,206.9,9.3,94.25,872.48
Soybean,Madhya Pradesh,Zaid,Red Soil,1114.9,22.2,5.3,199.1,39.9,170.9,6.8,13.34,90.69
Tomato,Uttar Pradesh,Zaid,Alluvial,1909.3,36.0,5.2,145.1,65.1,76.5,11.9,112.2,1338.3
Wheat,Karnataka,Zaid,Alluvial,1370.5,24.2,7.6,150.3,81.2,246.5,4.2,24.76,103.83
Rice,Karnataka,Kharif,Black Soil,804.4,24.1,7.9,212.9,96.3,145.4,17.7,27.4,484.87
Maize,Karnataka,Kharif,Alluvial,1929.5,24.9,8.1,139.0,94.4,79.8,18.9,28.36,534.88
Potato,Punjab,Zaid,Sandy Loam,771.2,27.4,5.3,191.6,49.0,113.6,13.4,88.0,1180.72
Mustard,Gujarat,Zaid,Black Soil,1272.6,30.2,6.0,154.7,56.2,236.5,12.2,11.55,140.5
Mustard,Madhya Pradesh,Kharif,Loamy,1876.7,19.6,5.2,151.7,49.8,221.4,1.5,9.53,14.35
Soybean,Karnataka,Rabi,Sandy Loam,1285.1,34.3,6.2,277.8,52.0,127.9,8.6,12.82,110.78
Groundnut,Madhya Pradesh,Kharif,Red Soil,650.4,22.7,6.1,270.6,85.8,191.9,19.2,12.92,248.47
Wheat,Punjab,Rabi,Black Soil,1565.7,22.7,6.9,195.0,25.8,185.9,14.7,21.06,309.28
Mustard,Gujarat,Rabi,Black Soil,1369.2,28.5,7.5,71.1,98.4,74.3,3.1,8.93,27.85
Onion,Madhya Pradesh,Zaid,Loamy,1777.1,32.4,5.5,94.8,64.1,162.5,9.2,77.29,710.91
Onion,Maharashtra,Kharif,Loamy,350.1,16.2,5.4,207.1,54.4,75.8,8.1,69.89,563.38
Rice,Maharashtra,Kharif,Sandy Loam,1501.6,22.4,8.4,89.1,36.3,146.7,10.1,14.31,144.19
Sugarcane,Punjab,Rabi,Loamy,369.2,22.7,8.3,204.4,49.5,172.4,4.9,266.99,1312.63
Onion,Madhya Pradesh,Rabi,Black Soil,804.7,36.9,7.9,130.7,97.8,247.5,8.8,105.52,924.79
Sugarcane,Gujarat,Rabi,Black Soil,1264.0,15.5,5.1,168.2,87.5,227.4,6.7,424.19,2847.17
Wheat,Uttar Pradesh,Rabi,Red Soil,1261.5,32.4,5.5,143.1,99.1,230.6,7.7,19.21,147.32
Wheat,Maharashtra,Zaid,Alluvial,406.5,30.1,5.6,277.5,51.6,143.9,12.6,25.33,318.78
Soybean,Uttar Pradesh,Zaid,Sandy Loam,984.0,19.7,7.7,79.7,98.8,101.3,8.5,13.54,115.41
Soybean,Punjab,Rabi,Black Soil,1237.6,23.6,7.2,132.8,28.0,60.9,18.4,13.05,239.94
Chickpea,Madhya Pradesh,Zaid,Black Soil,1926.7,20.7,7.1,180.0,24.4,151.9,1.0,8.08,8.43
Wheat,Uttar Pradesh,Rabi,Black Soil,779.7,23.9,7.0,191.1,34.8,71.2,15.1,22.34,336.43
Wheat,Uttar Pradesh,Zaid,Black Soil,1628.1,35.2,8.0,152.5,44.3,246.1,17.0,18.9,320.83
Mustard,Uttar Pradesh,Kharif,Clay,975.9,26.0,7.2,151.2,99.4,69.8,5.2,9.29,48.25
Chickpea,Uttar Pradesh,Kharif,Black Soil,1624.7,27.0,5.1,295.7,69.3,61.8,13.6,7.56,102.52
Mustard,Maharashtra,Rabi,Clay,352.5,16.2,5.4,236.8,91.3,241.3,19.2,6.49,124.31
Rice,Punjab,Rabi,Red Soil,1469.7,19.2,7.0,126.9,88.2,129.6,6.9,27.61,189.11
Chickpea,Gujarat,Rabi,Alluvial,722.7,29.9,5.1,240.0,62.2,225.2,10.9,8.11,88.35
Tomato,Maharashtra,Rabi,Clay,1136.4,25.2,6.1,121.1,97.3,136.6,17.8,156.69,2788.44
Mustard,Gujarat,Zaid,Clay,671.3,33.6,6.6,261.3,21.8,57.3,1.7,9.92,17.24
Soybean,Karnataka,Zaid,Black Soil,1878.1,34.3,7.6,199.4,72.2,192.1,13.4,14.1,189.23
Potato,Karnataka,Kharif,Loamy,484.9,27.6,6.7,81.3,95.1,204.9,7.7,143.16,1099.8
Tomato,Gujarat,Kharif,Clay,596.2,34.4,8.2,91.5,80.4,245.7,19.8,128.4,2538.19
Mustard,Karnataka,Kharif,Sandy Loam,713.6,17.8,8.1,188.6,64.2,126.0,1.6,7.96,12.41
Tomato,Maharashtra,Rabi,Black Soil,1240.0,30.9,6.0,155.7,64.9,120.7,7.9,123.56,975.55
Potato,Maharashtra,Zaid,Loamy,328.9,20.2,7.8,268.9,56.3,123.1,6.2,89.97,558.77
Rice,Uttar Pradesh,Rabi,Alluvial,1863.9,24.2,6.0,229.1,71.6,149.1,16.7,28.7,480.23
Maize,Gujarat,Zaid,Alluvial,1418.0,28.5,6.8,241.2,28.5,50.4,19.1,31.58,603.0
Tomato,Punjab,Kharif,Red Soil,950.0,32.7,6.5,261.0,26.1,146.2,9.9,137.08,1353.04
Rice,Uttar Pradesh,Kharif,Sandy Loam,651.5,21.2,6.7,134.6,81.9,145.2,17.5,27.02,473.94
Onion,Karnataka,Rabi,Alluvial,1309.5,28.0,8.1,112.8,45.9,183.8,16.1,75.14,1208.35
Groundnut,Punjab,Zaid,Black Soil,1430.2,19.9,8.3,265.1,76.2,140.7,11.2,10.89,122.03
Chickpea,Uttar Pradesh,Rabi,Alluvial,1761.9,17.4,7.3,227.5,43.6,244.3,6.3,9.55,60.14
Onion,Karnataka,Kharif,Black Soil,715.9,22.8,7.0,271.7,79.8,91.9,5.8,104.41,603.88
Tomato,Madhya Pradesh,Kharif,Sandy Loam,1315.1,32.4,6.9,274.4,95.8,233.1,15.3,139.34,2136.96
Rice,Gujarat,Zaid,Red Soil,851.2,32.4,5.4,243.8,66.9,217.1,9.2,22.22,204.15
Cotton,Uttar Pradesh,Zaid,Loamy,943.1,27.0,7.8,59.5,62.3,55.6,9.4,10.4,97.81
Cotton,Karnataka,Kharif,Black Soil,897.9,21.1,5.4,297.0,86.8,229.9,10.8,7.58,81.53
Groundnut,Maharashtra,Zaid,Sandy Loam,1910.9,34.3,5.6,155.0,39.7,91.1,14.0,9.75,136.56
Wheat,Maharashtra,Kharif,Clay,1226.1,23.0,6.4,127.6,51.0,161.2,1.3,23.61,29.96
Sugarcane,Madhya Pradesh,Rabi,Black Soil,1635.7,17.1,5.1,129.8,92.7,128.0,15.5,328.26,5088.72
Cotton,Uttar Pradesh,Kharif,Clay,501.3,32.7,6.5,148.3,72.3,121.5,9.5,9.91,93.84
Onion,Uttar Pradesh,Rabi,Black Soil,1007.9,36.1,6.1,285.4,60.3,119.8,13.3,95.49,1269.38
Tomato,Punjab,Kharif,Alluvial,1931.8,26.3,7.6,168.5,67.0,166.8,19.6,157.42,3088.26
Groundnut,Maharashtra,Kharif,Loamy,1900.2,25.3,7.6,109.0,89.7,127.5,11.2,13.48,151.04
Tomato,Madhya Pradesh,Zaid,Black Soil,1781.3,30.5,8.4,225.3,85.7,59.0,13.8,120.87,1665.74
Cotton,Gujarat,Zaid,Alluvial,1813.1,16.1,5.7,276.8,67.3,232.4,7.0,9.53,66.81
Maize,Uttar Pradesh,Kharif,Alluvial,1521.9,17.3,6.8,189.4,79.6,230.6,8.0,33.91,271.67
Tomato,Gujarat,Rabi,Alluvial,632.1,19.2,5.3,70.3,87.7,126.7,2.2,142.03,305.94
Wheat,Madhya Pradesh,Rabi,Clay,630.6,37.3,5.4,230.5,94.6,183.6,17.3,17.79,308.02
Groundnut,Karnataka,Zaid,Clay,1779.9,31.0,8.1,238.3,61.6,149.7,9.6,8.46,81.35
Chickpea,Punjab,Zaid,Clay,567.8,17.7,6.6,60.0,98.9,125.6,8.3,7.91,65.36
Chickpea,Gujarat,Kharif,Clay,458.4,29.8,8.2,276.8,85.9,213.5,13.1,9.37,122.65
Tomato,Karnataka,Kharif,Red Soil,1079.2,31.4,6.5,180.3,95.2,139.6,7.5,140.8,1051.1
Rice,Maharashtra,Rabi,Alluvial,1410.0,35.2,5.3,160.7,55.6,221.6,7.6,25.23,191.92
Soybean,Gujarat,Kharif,Loamy,753.5,33.8,7.2,172.7,92.6,81.9,10.5,17.13,180.49
Rice,Uttar Pradesh,Kharif,Sandy Loam,1184.8,20.5,6.4,256.6,46.1,146.6,1.5,22.62,33.26
Rice,Uttar Pradesh,Rabi,Alluvial,1503.2,37.7,8.5,142.2,42.3,160.8,7.0,22.01,153.43
Tomato,Karnataka,Rabi,Loamy,307.1,21.8,5.3,173.8,43.1,178.0,10.5,85.48,897.48
Chickpea,Uttar Pradesh,Kharif,Black Soil,1497.7,33.5,8.0,155.7,58.2,129.7,2.4,7.25,17.4
Soybean,Punjab,Zaid,Sandy Loam,963.2,29.9,8.0,204.4,51.8,139.5,17.6,10.84,190.79
Mustard,Madhya Pradesh,Kharif,Alluvial,969.6,33.0,6.6,149.6,98.6,66.0,9.1,12.19,110.69
Groundnut,Uttar Pradesh,Zaid,Clay,553.4,27.2,7.4,126.8,73.6,108.9,18.1,12.63,229.15
Mustard,Maharashtra,Zaid,Sandy Loam,1573.3,20.7,5.9,174.4,51.8,103.0,7.4,7.46,55.04
Cotton,Madhya Pradesh,Rabi,Loamy,1997.8,15.5,6.8,166.9,51.1,78.3,1.9,11.11,21.08
Cotton,Karnataka,Rabi,Loamy,1441.3,21.8,6.5,262.7,66.0,151.8,17.4,12.62,219.23
Potato,Uttar Pradesh,Kharif,Alluvial,433.1,28.4,5.2,105.3,95.9,149.7,11.9,98.34,1170.29
Potato,Uttar Pradesh,Rabi,Red Soil,1008.3,36.2,7.2,162.6,87.2,130.4,13.0,129.15,1683.83
Wheat,Madhya Pradesh,Kharif,Clay,1802.3,31.8,7.1,226.6,42.9,134.6,7.3,23.7,171.87
Maize,Maharashtra,Kharif,Red Soil,1763.7,32.6,7.0,89.2,51.3,193.9,8.1,24.3,196.7
Onion,Karnataka,Kharif,Clay,580.3,22.7,6.4,155.1,29.1,127.1,10.6,92.58,983.8
Wheat,Karnataka,Zaid,Red Soil,1876.9,28.8,8.4,266.8,73.9,229.9,19.8,16.82,333.65
Groundnut,Punjab,Kharif,Sandy Loam,1659.1,17.1,8.2,203.0,33.0,57.9,16.7,7.41,123.95
Sugarcane,Karnataka,Zaid,Clay,1724.6,24.7,8.1,242.1,88.2,144.0,14.6,337.58,4915.69
Rice,Uttar Pradesh,Kharif,Alluvial,804.6,27.0,5.7,109.4,60.8,151.2,2.3,21.78,50.21
Mustard,Gujarat,Rabi,Alluvial,499.8,16.6,5.7,75.0,20.3,107.0,4.1,7.19,29.62
Mustard,Gujarat,Rabi,Sandy Loam,1425.2,21.6,8.5,173.2,47.2,229.6,15.9,7.73,122.88
Potato,Madhya Pradesh,Rabi,Red Soil,1063.3,20.8,5.4,297.2,24.6,114.5,13.5,106.88,1447.15
Maize,Punjab,Zaid,Black Soil,313.2,37.0,6.3,172.1,93.9,205.2,5.6,22.15,124.52
Groundnut,Maharashtra,Rabi,Red Soil,1136.6,25.7,6.1,133.9,77.5,200.6,17.4,14.02,244.08
Onion,Punjab,Kharif,Black Soil,1451.0,24.6,5.2,200.6,92.8,123.5,8.3,91.76,760.53
Potato,Punjab,Kharif,Red Soil,1506.4,27.2,5.2,155.2,50.4,84.3,4.0,80.02,317.47
Maize,Gujarat,Rabi,Sandy Loam,646.7,17.1,8.1,133.7,41.7,77.1,16.8,19.76,331.88
Onion,Madhya Pradesh,Zaid,Black Soil,1338.3,31.7,6.9,52.8,80.5,245.7,14.6,109.2,1595.12
Onion,Gujarat,Zaid,Red Soil,790.6,25.3,6.9,88.1,58.5,105.4,16.9,86.38,1459.98
Chickpea,Punjab,Zaid,Clay,1762.9,34.8,8.3,68.1,51.6,135.6,17.4,6.45,111.97
Mustard,Uttar Pradesh,Kharif,Red Soil,1898.1,20.1,5.6,166.0,43.4,127.7,17.1,9.75,166.81
Chickpea,Madhya Pradesh,Kharif,Loamy,1420.2,15.4,7.6,154.6,71.5,176.7,2.4,11.37,27.49
Chickpea,Maharashtra,Rabi,Red Soil,1603.4,36.1,6.1,78.1,27.9,73.0,8.5,8.66,73.95
Potato,Madhya Pradesh,Kharif,Sandy Loam,1478.3,32.6,7.5,233.9,64.8,241.4,6.7,125.83,841.46
Mustard,Madhya Pradesh,Rabi,Sandy Loam,841.6,16.1,5.2,165.3,47.9,96.2,7.0,8.1,56.35
Onion,Gujarat,Kharif,Alluvial,954.8,30.1,7.3,160.2,74.7,112.6,10.4,106.27,1105.97
Cotton,Uttar Pradesh,Kharif,Red Soil,408.9,34.7,7.0,102.9,56.9,64.7,19.7,7.54,148.3
Cotton,Uttar Pradesh,Rabi,Black Soil,518.1,28.5,7.2,59.7,75.1,223.7,19.5,8.69,169.17
Maize,Madhya Pradesh,Kharif,Black Soil,371.5,21.7,6.4,286.2,43.1,248.9,18.4,24.44,449.29
Tomato,Madhya Pradesh,Rabi,Alluvial,394.0,37.0,7.9,258.2,93.3,234.2,5.2,143.35,740.03
Sugarcane,Karnataka,Kharif,Clay,483.7,32.8,7.6,252.4,26.8,74.9,8.1,360.78,2914.64
Tomato,Maharashtra,Rabi,Loamy,1100.0,18.4,6.7,245.7,64.7,76.7,16.8,175.05,2934.18
Wheat,Gujarat,Rabi,Clay,1171.0,23.7,5.3,257.1,20.3,118.7,7.2,19.57,141.45
Chickpea,Madhya Pradesh,Kharif,Black Soil,1304.5,24.9,5.1,132.9,40.7,90.4,11.4,6.55,74.7
Potato,Maharashtra,Kharif,Sandy Loam,1952.1,26.7,6.1,183.7,70.0,174.1,14.7,113.93,1673.94
Groundnut,Maharashtra,Rabi,Clay,357.4,27.1,7.7,151.3,20.3,85.0,19.0,7.32,139.29
Tomato,Uttar Pradesh,Rabi,Alluvial,1880.6,16.8,5.9,63.9,32.2,81.8,7.4,133.16,984.14
Chickpea,Maharashtra,Rabi,Red Soil,1428.6,28.2,5.1,145.0,28.6,95.6,13.7,7.42,101.68
Tomato,Madhya Pradesh,Kharif,Alluvial,1429.5,29.7,5.7,83.2,95.0,121.1,9.7,133.3,1299.4
Chickpea,Punjab,Kharif,Clay,1654.2,31.0,5.2,233.3,89.2,177.1,4.0,9.36,37.74
Onion,Uttar Pradesh,Rabi,Sandy Loam,1638.6,27.1,7.6,236.2,80.4,54.8,1.2,98.2,119.12
Mustard,Gujarat,Kharif,Red Soil,842.3,37.7,5.1,223.7,33.2,125.2,18.5,7.74,143.43
Maize,Karnataka,Kharif,Alluvial,934.7,15.4,8.1,234.4,30.4,138.2,3.3,27.62,91.39
Tomato,Maharashtra,Kharif,Red Soil,1635.3,18.2,5.2,146.7,30.4,65.9,12.2,91.62,1116.49
Tomato,Punjab,Kharif,Black Soil,1173.0,18.1,6.7,178.4,45.0,169.3,6.8,136.85,934.56
Cotton,Gujarat,Rabi,Alluvial,1110.8,30.8,7.6,209.0,35.6,223.6,6.5,10.19,66.04
Groundnut,Karnataka,Kharif,Alluvial,1404.4,31.1,5.8,138.1,31.0,197.4,19.0,13.29,252.94
Sugarcane,Karnataka,Kharif,Alluvial,681.5,31.9,6.1,63.6,90.8,155.2,19.1,495.44,9441.35
Sugarcane,Punjab,Kharif,Sandy Loam,1564.0,35.1,7.7,218.9,38.1,58.7,5.5,328.91,1794.97
Potato,Gujarat,Rabi,Loamy,866.9,16.6,5.0,111.4,40.4,195.9,4.0,111.33,444.23
Groundnut,Uttar Pradesh,Zaid,Alluvial,385.2,24.0,5.9,145.0,24.2,187.2,18.9,8.81,166.2
Onion,Madhya Pradesh,Rabi,Alluvial,540.8,28.4,6.0,105.7,79.1,132.6,9.3,105.89,986.53
Onion,Punjab,Kharif,Red Soil,1707.1,18.0,7.1,259.3,81.2,226.9,1.6,106.59,172.54
Cotton,Punjab,Rabi,Red Soil,1617.1,24.7,7.5,260.1,95.7,159.0,7.0,9.75,68.29
Soybean,Madhya Pradesh,Zaid,Red Soil,642.7,27.3,8.1,75.8,99.7,241.5,2.9,14.17,41.6
Onion,Karnataka,Rabi,Red Soil,526.9,25.8,6.5,75.5,20.9,53.3,15.0,76.12,1142.65
Onion,Maharashtra,Kharif,Red Soil,1219.4,17.9,5.6,254.4,22.2,233.2,7.4,110.27,818.81
Onion,Punjab,Kharif,Alluvial,1854.8,18.3,7.8,60.4,94.2,244.0,2.0,111.34,218.79
Rice,Uttar Pradesh,Zaid,Clay,662.8,17.5,7.3,218.2,45.8,247.4,4.0,23.75,95.34
Onion,Uttar Pradesh,Kharif,Red Soil,1897.2,15.4,8.1,134.0,28.9,115.2,18.0,65.54,1179.84
Chickpea,Punjab,Rabi,Clay,687.5,35.7,7.9,148.5,85.1,219.8,6.4,8.82,56.04
Groundnut,Gujarat,Zaid,Loamy,380.8,19.1,6.5,292.6,53.9,77.6,4.3,11.02,47.48
Mustard,Madhya Pradesh,Rabi,Black Soil,1195.0,18.9,7.0,224.9,68.9,235.1,13.2,10.33,136.43
Wheat,Punjab,Rabi,Clay,739.7,24.9,6.3,171.6,25.2,229.0,17.1,22.49,384.01
Groundnut,Madhya Pradesh,Zaid,Sandy Loam,872.8,20.0,8.3,130.9,30.2,154.6,18.0,9.56,171.65
Chickpea,Karnataka,Rabi,Clay,774.8,18.9,6.6,202.9,32.7,54.9,2.8,9.46,26.5
Onion,Madhya Pradesh,Zaid,Sandy Loam,596.0,31.6,8.1,94.6,74.0,156.0,8.5,74.77,638.13
Potato,Gujarat,Zaid,Alluvial,926.4,32.7,7.8,298.3,95.2,236.7,18.7,152.4,2853.4
Tomato,Karnataka,Zaid,Black Soil,716.9,33.1,5.9,176.7,30.8,168.3,12.6,124.74,1572.5
Wheat,Gujarat,Zaid,Red Soil,1180.1,24.5,5.7,154.2,89.5,81.8,10.6,21.14,223.45
Soybean,Gujarat,Rabi,Sandy Loam,1007.7,15.2,5.3,224.1,65.4,63.5,9.2,10.94,100.08
Cotton,Karnataka,Rabi,Alluvial,1539.3,22.0,5.8,292.8,44.0,246.2,3.6,11.45,41.16
Chickpea,Madhya Pradesh,Rabi,Red Soil,1689.7,18.7,7.8,132.0,65.7,170.4,18.4,9.08,166.62
Tomato,Maharashtra,Kharif,Red Soil,1094.0,32.4,7.8,131.0,81.4,118.7,7.8,157.52,1231.76
Chickpea,Maharashtra,Rabi,Alluvial,420.1,33.7,6.7,65.9,98.6,219.9,4.9,12.1,58.88
Maize,Uttar Pradesh,Zaid,Alluvial,778.6,23.1,6.2,170.3,69.1,133.0,2.0,36.56,74.36
Wheat,Uttar Pradesh,Zaid,Loamy,1348.0,25.7,5.9,244.4,63.4,116.5,18.8,27.23,511.2
Potato,Maharashtra,Zaid,Sandy Loam,1298.9,35.1,6.0,61.7,21.0,136.2,1.1,99.61,108.22
Onion,Karnataka,Kharif,Clay,1310.8,36.9,5.8,276.0,98.5,50.7,9.2,104.53,960.83
Sugarcane,Madhya Pradesh,Kharif,Clay,1349.7,36.3,8.2,258.5,52.6,189.5,19.2,341.67,6547.7
Chickpea,Uttar Pradesh,Rabi,Red Soil,1403.7,18.2,7.2,172.3,24.0,182.6,9.9,8.86,87.99
Potato,Punjab,Zaid,Black Soil,321.5,31.7,8.3,71.0,60.7,133.4,6.4,73.82,474.79
Rice,Uttar Pradesh,Kharif,Sandy Loam,852.8,19.0,6.4,256.0,88.2,71.6,7.3,25.24,183.85
Rice,Maharashtra,Zaid,Alluvial,674.5,17.5,5.3,97.0,51.6,200.2,3.7,18.33,67.43
Potato,Uttar Pradesh,Rabi,Sandy Loam,1419.0,33.4,6.5,206.8,70.4,208.9,7.1,114.26,809.36
Sugarcane,Madhya Pradesh,Rabi,Alluvial,1159.6,36.8,7.8,287.0,57.2,116.0,9.7,471.02,4591.98
Groundnut,Uttar Pradesh,Kharif,Red Soil,1709.9,34.8,8.0,228.5,36.3,66.8,13.4,9.95,133.75
Maize,Punjab,Kharif,Sandy Loam,1862.2,30.1,7.4,55.1,48.7,161.4,2.3,23.0,53.13
Chickpea,Karnataka,Rabi,Red Soil,610.4,16.1,5.2,138.0,21.0,188.8,19.8,6.59,130.29
Potato,Uttar Pradesh,Zaid,Alluvial,1748.1,19.9,6.7,191.4,66.9,53.5,8.2,124.69,1017.74
Chickpea,Karnataka,Rabi,Black Soil,680.4,18.6,5.7,214.1,40.1,182.9,14.0,8.31,116.22
Sugarcane,Punjab,Zaid,Sandy Loam,571.6,19.8,8.0,109.6,94.2,219.1,14.6,360.13,5273.8
Soybean,Karnataka,Kharif,Clay,1539.3,18.2,7.8,71.2,99.1,179.8,17.7,12.72,225.46
Maize,Gujarat,Rabi,Loamy,1075.6,32.5,6.7,270.7,46.7,222.4,10.9,40.21,438.47
Rice,Maharashtra,Zaid,Red Soil,974.7,31.3,7.3,130.5,46.4,202.9,15.6,27.31,426.51
Maize,Gujarat,Rabi,Red Soil,1010.8,19.6,8.1,191.6,99.4,226.3,3.4,29.09,98.58
Tomato,Uttar Pradesh,Zaid,Black Soil,495.1,31.3,8.3,174.3,59.2,194.7,4.8,112.11,537.81
Tomato,Uttar Pradesh,Zaid,Red Soil,574.8,19.0,6.6,118.6,89.7,137.3,14.0,154.59,2166.31
Mustard,Karnataka,Kharif,Black Soil,732.7,35.5,7.0,174.1,34.4,230.3,13.1,11.28,147.92
Chickpea,Uttar Pradesh,Kharif,Sandy Loam,1806.7,32.5,7.5,175.6,94.1,100.4,14.5,9.96,144.43
Wheat,Madhya Pradesh,Zaid,Alluvial,1776.3,29.9,7.1,69.1,87.4,180.1,7.5,23.79,178.36
Soybean,Uttar Pradesh,Kharif,Sandy Loam,1667.5,32.1,7.0,247.3,68.8,162.2,19.5,14.52,283.74
Rice,Maharashtra,Zaid,Alluvial,1063.6,28.1,7.7,70.3,37.4,248.2,15.2,26.41,402.71
Wheat,Gujarat,Rabi,Red Soil,1030.5,17.8,8.4,86.1,77.5,171.7,13.4,15.84,213.01
Sugarcane,Maharashtra,Kharif,Loamy,927.5,17.5,7.6,179.9,21.8,68.8,6.1,464.16,2818.17
Maize,Uttar Pradesh,Kharif,Black Soil,1152.8,33.0,6.7,161.3,74.0,106.6,15.0,27.29,408.54
Tomato,Karnataka,Zaid,Black Soil,855.7,21.8,6.9,163.1,50.0,134.6,6.1,129.89,787.97
Sugarcane,Gujarat,Kharif,Clay,568.1,23.1,8.1,238.4,40.0,54.7,14.9,309.6,4628.46
Chickpea,Punjab,Rabi,Sandy Loam,486.4,22.8,5.4,278.0,96.0,158.3,7.6,7.34,56.14
Wheat,Gujarat,Rabi,Black Soil,1611.6,27.3,5.8,109.6,42.0,53.2,5.9,18.2,106.68
Wheat,Karnataka,Rabi,Black Soil,1017.8,15.5,8.5,296.1,61.7,73.8,5.8,19.24,112.51
Chickpea,Punjab,Kharif,Black Soil,1196.6,30.0,5.4,149.3,76.2,141.0,2.8,8.88,24.8
Onion,Punjab,Kharif,Black Soil,595.2,27.2,6.4,254.4,30.8,198.4,5.8,88.65,510.47
Maize,Gujarat,Zaid,Red Soil,1992.9,34.1,6.6,114.1,56.0,55.9,16.3,22.81,371.39
Potato,Karnataka,Rabi,Loamy,714.5,32.2,6.2,275.2,89.6,185.9,9.7,141.48,1374.91
Rice,Madhya Pradesh,Rabi,Red Soil,1699.2,31.3,8.0,53.6,44.3,54.5,19.1,18.02,344.42
Maize,Maharashtra,Kharif,Loamy,1764.8,27.2,6.8,287.0,28.5,245.5,11.9,38.96,465.48
Maize,Gujarat,Kharif,Alluvial,1748.7,22.2,5.4,59.7,60.9,88.9,16.7,21.85,364.14
Mustard,Madhya Pradesh,Kharif,Loamy,515.9,32.6,8.3,190.2,90.6,99.6,14.7,9.28,136.71
Cotton,Madhya Pradesh,Rabi,Clay,430.6,20.5,8.1,57.7,59.7,154.5,6.4,7.68,49.36
Sugarcane,Punjab,Zaid,Black Soil,1101.0,15.5,5.1,233.7,33.8,243.7,7.8,388.78,3034.84
Tomato,Punjab,Kharif,Black Soil,1435.5,29.4,8.1,71.1,60.5,171.5,13.3,118.09,1576.2
Wheat,Uttar Pradesh,Kharif,Alluvial,826.3,15.2,7.5,289.0,24.3,78.2,6.2,23.9,148.31
Mustard,Gujarat,Zaid,Alluvial,850.6,18.0,5.6,58.0,85.9,65.2,18.0,8.19,147.27
Onion,Madhya Pradesh,Rabi,Alluvial,1492.6,15.1,6.0,64.3,29.7,75.1,14.7,104.38,1538.7
Maize,Maharashtra,Kharif,Red Soil,617.3,32.6,6.0,98.6,82.9,238.9,8.0,30.94,246.04
Soybean,Gujarat,Rabi,Red Soil,1798.0,29.1,8.3,122.0,94.8,177.7,1.2,10.4,12.38
Cotton,Gujarat,Zaid,Clay,832.6,33.8,7.0,208.0,93.8,116.8,12.1,9.87,119.5
Cotton,Punjab,Kharif,Loamy,1424.3,35.3,6.6,213.7,67.7,64.4,13.0,9.21,119.91
