soil_type,season,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,recommended_crop
Loamy,Rabi,1190.7,38.1,6.64,327.8,71.4,33.1,Mustard
Red Soil,Kharif,2436.3,21.8,6.51,61.5,15.9,45.3,Cotton
Alluvial,Zaid,2284.8,33.5,8.01,316.5,63.1,295.1,Sugarcane
Alluvial,Rabi,1657.8,31.4,5.13,132.1,96.8,73.2,Potato
Clay Loam,Rabi,457.9,20.6,6.95,94.7,46.9,267.3,Chickpea
Red Soil,Rabi,289.3,35.0,4.72,159.4,88.5,48.9,Cotton
Red Soil,Zaid,2302.1,14.6,4.98,288.9,101.0,283.4,Cotton
Clay,Zaid,405.5,26.8,7.81,265.1,17.4,295.8,Rice
Red Soil,Kharif,1779.4,17.0,7.65,158.9,32.9,82.0,Groundnut
Alluvial,Zaid,2456.2,20.7,7.39,80.9,110.5,77.3,Potato
Red Soil,Zaid,421.2,19.4,8.29,302.5,56.5,228.3,Cotton
Sandy Loam,Kharif,986.7,32.0,5.29,307.9,71.8,78.0,Maize
Clay,Kharif,1118.1,32.6,5.58,121.0,117.5,207.2,Rice
Clay,Rabi,985.6,13.7,8.36,187.5,14.8,169.2,Rice
Loamy,Kharif,1751.0,32.5,7.84,34.9,28.5,150.3,Maize
Clay Loam,Rabi,941.5,33.9,8.02,343.2,21.2,145.1,Chickpea
Sandy Loam,Zaid,972.8,33.1,6.24,263.0,90.9,192.4,Onion
Red Soil,Kharif,918.0,29.4,5.66,139.0,91.1,238.5,Cotton
Clay Loam,Kharif,1700.7,33.0,8.7,341.8,112.1,250.0,Soybean
Sandy Loam,Rabi,450.4,15.9,8.24,272.2,24.7,198.8,Potato
Clay Loam,Kharif,2431.7,28.4,5.92,123.7,98.5,71.6,Soybean
Clay,Rabi,322.5,34.1,8.2,188.1,109.5,242.1,Rice
Black Soil,Zaid,1271.4,10.8,8.55,310.4,29.4,199.0,Soybean
Alluvial,Zaid,408.9,23.0,5.33,311.6,101.0,185.6,Sugarcane
Black Soil,Zaid,2477.3,39.8,4.67,148.8,109.3,69.7,Soybean
Black Soil,Kharif,1124.0,30.1,5.17,35.2,80.6,106.2,Cotton
Clay Loam,Kharif,812.8,22.2,8.95,139.8,53.0,261.0,Soybean
Clay,Kharif,1042.1,17.5,6.95,100.3,116.2,55.0,Rice
Loamy,Kharif,945.0,27.1,8.73,47.4,85.1,73.0,Groundnut
Black Soil,Kharif,1510.2,20.7,8.07,141.9,69.7,49.5,Soybean
Red Soil,Rabi,695.4,19.3,6.54,237.2,16.4,38.7,Groundnut
Sandy Loam,Kharif,1716.4,32.4,6.33,181.0,76.5,178.1,Groundnut
Sandy Loam,Zaid,2101.3,23.6,7.76,78.7,107.0,114.0,Tomato
Sandy Loam,Zaid,1139.6,39.6,7.71,338.8,54.2,139.5,Tomato
Clay Loam,Zaid,1551.8,25.0,4.91,244.7,32.5,45.5,Tomato
Clay,Rabi,620.7,27.0,6.48,104.1,117.5,183.2,Rice
Clay,Kharif,1502.1,25.0,8.28,343.8,104.7,68.9,Rice
Alluvial,Kharif,224.6,34.8,7.22,148.0,98.4,298.0,Rice
Black Soil,Kharif,2219.9,20.4,8.28,99.6,102.0,256.1,Soybean
Alluvial,Kharif,1611.7,14.7,8.6,260.5,35.4,276.9,Maize
Clay,Kharif,1960.7,37.3,5.55,162.6,22.7,148.5,Rice
Sandy Loam,Zaid,2343.1,13.3,6.96,81.3,52.1,259.8,Tomato
Clay,Rabi,1413.6,37.5,7.11,77.3,91.7,227.8,Rice
Clay Loam,Kharif,1126.0,15.4,4.99,312.8,79.9,236.9,Soybean
Alluvial,Rabi,1859.3,33.5,7.5,240.3,69.2,90.1,Potato
Clay Loam,Zaid,2058.8,32.1,6.47,210.9,86.0,203.0,Tomato
Alluvial,Rabi,1296.4,26.6,7.66,289.1,19.7,273.8,Mustard
Loamy,Kharif,2304.7,13.3,7.97,330.6,95.8,247.7,Rice
Clay,Kharif,717.8,29.6,5.77,261.4,74.7,72.1,Rice
Red Soil,Zaid,268.2,37.5,4.82,71.0,20.0,223.4,Groundnut
Sandy Loam,Rabi,2204.3,18.2,7.46,94.4,56.8,212.1,Mustard
Red Soil,Rabi,762.9,28.2,6.45,338.7,114.3,44.0,Groundnut
Alluvial,Zaid,1617.6,36.7,7.46,212.6,31.9,41.1,Mustard
Clay,Kharif,1255.7,16.4,8.74,269.8,87.0,290.3,Rice
Clay Loam,Kharif,606.7,23.1,4.62,157.3,96.3,215.9,Soybean
Sandy Loam,Rabi,1841.4,26.6,4.88,306.1,69.6,99.9,Potato
Clay Loam,Rabi,1331.4,28.1,8.42,269.5,35.4,137.7,Wheat
Black Soil,Rabi,1218.4,30.7,6.46,322.1,76.2,209.3,Chickpea
Clay,Zaid,1124.4,37.0,8.71,288.3,31.6,279.5,Rice
Clay Loam,Zaid,420.6,38.9,5.46,208.5,83.1,186.9,Tomato
Black Soil,Rabi,1685.5,37.8,5.49,261.4,98.8,115.1,Chickpea
Clay Loam,Rabi,1919.1,11.6,4.58,103.8,91.3,70.5,Chickpea
Alluvial,Kharif,2460.8,23.4,5.23,136.0,89.4,209.8,Maize
Red Soil,Zaid,2103.3,26.2,7.31,37.9,69.0,30.3,Groundnut
Black Soil,Rabi,1961.1,22.6,5.63,34.7,99.8,71.4,Chickpea
Clay,Zaid,737.1,22.7,5.62,235.3,54.5,242.2,Rice
Black Soil,Kharif,471.4,15.7,8.4,289.1,107.3,239.1,Cotton
Red Soil,Kharif,2111.2,34.1,8.03,194.1,37.0,107.3,Cotton
Black Soil,Kharif,862.6,34.5,4.56,238.2,34.4,65.2,Cotton
Clay Loam,Zaid,1925.4,11.4,8.71,199.5,21.3,65.1,Onion
Clay,Zaid,1321.2,21.6,5.5,216.7,66.3,289.8,Rice
Loamy,Zaid,798.7,31.3,7.67,239.2,80.4,53.3,Onion
Black Soil,Zaid,627.9,16.7,6.24,41.9,53.6,279.9,Chickpea
Clay Loam,Rabi,2056.4,23.1,5.47,74.8,112.3,182.2,Chickpea
Alluvial,Kharif,1368.2,21.6,8.65,326.1,81.0,164.6,Maize
Loamy,Kharif,2098.1,26.8,8.86,312.8,109.1,253.8,Groundnut
Clay,Kharif,780.4,37.9,6.2,288.3,56.6,211.2,Rice
Clay,Zaid,2380.0,25.0,8.82,286.7,75.7,54.6,Rice
Sandy Loam,Kharif,1717.6,36.2,7.84,224.3,11.9,129.3,Maize
Loamy,Rabi,1769.7,22.0,8.34,169.8,69.6,146.9,Chickpea
Red Soil,Rabi,606.8,34.9,7.76,307.1,71.2,31.2,Groundnut
Sandy Loam,Kharif,1911.8,12.9,4.62,207.4,64.8,56.1,Maize
Alluvial,Zaid,958.4,36.1,8.55,235.2,12.1,211.5,Rice
Clay,Rabi,335.0,35.6,5.15,198.5,72.8,242.2,Rice
Loamy,Rabi,2206.2,39.6,6.33,216.5,50.7,93.8,Mustard
Clay,Rabi,273.3,15.9,5.28,258.8,77.7,93.6,Rice
Black Soil,Rabi,1694.4,12.3,5.04,108.6,48.5,231.0,Chickpea
Clay Loam,Zaid,1621.7,14.9,8.68,59.0,33.5,295.4,Onion
Red Soil,Zaid,579.2,31.9,4.68,338.8,16.5,208.7,Cotton
Alluvial,Rabi,1934.2,25.4,8.78,56.3,56.7,106.9,Wheat
Clay,Zaid,601.6,14.1,4.61,36.9,35.9,119.8,Rice
Loamy,Kharif,1507.6,33.5,6.81,190.3,72.5,290.1,Rice
Black Soil,Zaid,1061.9,35.7,6.49,176.2,25.3,289.6,Chickpea
Clay,Kharif,1265.2,18.2,5.74,214.7,113.5,117.5,Rice
Clay,Rabi,1064.4,21.9,6.65,153.4,96.0,147.4,Rice
Red Soil,Zaid,2330.3,12.8,8.53,167.9,68.6,299.9,Groundnut
Clay Loam,Rabi,368.9,34.8,6.22,148.7,81.2,118.8,Wheat
Loamy,Zaid,1024.8,40.0,5.76,115.2,108.3,103.8,Onion
Clay Loam,Zaid,1707.2,36.4,5.32,303.6,11.4,150.9,Onion
Red Soil,Rabi,1411.3,16.5,8.61,298.5,72.0,74.4,Groundnut
Red Soil,Rabi,1715.4,19.1,5.32,189.9,57.0,152.0,Groundnut
Loamy,Kharif,846.6,11.4,7.78,203.1,89.3,128.9,Soybean
Red Soil,Kharif,2001.9,22.6,4.8,294.3,31.7,195.2,Groundnut
Alluvial,Zaid,1404.7,15.0,4.99,304.8,66.3,80.2,Wheat
Clay,Rabi,1397.0,38.5,6.89,297.7,68.4,189.2,Rice
Sandy Loam,Zaid,2299.7,13.5,5.76,84.6,20.6,286.3,Tomato
Loamy,Zaid,853.1,35.1,8.08,288.9,110.2,252.2,Tomato
Clay Loam,Zaid,1484.8,22.1,7.9,104.6,34.3,205.2,Tomato
Alluvial,Kharif,1388.6,34.0,8.45,84.1,59.3,188.5,Cotton
Loamy,Kharif,1455.6,39.6,4.71,345.4,11.8,128.5,Rice
Red Soil,Zaid,380.0,29.0,6.93,207.5,36.3,64.3,Groundnut
Sandy Loam,Kharif,1412.1,21.6,6.26,306.0,77.4,286.8,Groundnut
Loamy,Zaid,2489.3,11.4,8.98,315.1,88.5,128.6,Onion
Sandy Loam,Kharif,1402.1,17.2,8.88,130.2,34.0,270.4,Groundnut
Red Soil,Kharif,1144.6,32.2,5.67,202.1,90.8,291.5,Groundnut
Clay Loam,Zaid,845.3,29.1,7.68,96.8,111.8,105.0,Onion
Clay Loam,Rabi,1098.9,27.0,8.08,228.6,39.8,49.0,Wheat
Red Soil,Rabi,1193.8,19.9,4.81,213.3,68.4,136.1,Cotton
Sandy Loam,Rabi,1862.6,37.7,6.41,312.1,63.0,159.7,Mustard
Clay,Rabi,1606.4,25.7,5.01,175.8,65.7,286.1,Rice
Sandy Loam,Zaid,1852.0,11.4,4.69,226.5,38.0,60.6,Tomato
Black Soil,Rabi,794.6,27.1,5.78,209.1,84.7,192.5,Chickpea
Alluvial,Zaid,1884.4,17.8,6.96,210.0,79.4,282.3,Maize
Loamy,Zaid,1703.8,25.0,7.43,264.9,38.1,115.6,Onion
Clay Loam,Zaid,2360.9,11.4,7.99,227.2,45.1,118.3,Onion
Clay,Kharif,1698.3,33.3,4.57,182.5,30.1,149.2,Rice
Sandy Loam,Rabi,1388.9,32.7,5.59,236.3,19.9,181.2,Mustard
Alluvial,Rabi,947.8,38.7,4.83,100.2,105.7,191.2,Potato
Loamy,Zaid,479.7,24.1,7.55,249.2,107.4,150.6,Onion
Clay Loam,Rabi,369.8,27.8,8.98,274.7,31.5,66.0,Wheat
Loamy,Zaid,1647.9,20.0,4.56,219.6,67.8,196.4,Onion
Alluvial,Kharif,524.2,13.4,8.92,287.7,72.8,132.5,Rice
Alluvial,Kharif,2337.0,10.5,7.43,199.3,34.1,95.4,Maize
Black Soil,Rabi,1547.2,26.1,7.39,114.5,93.4,231.4,Chickpea
Sandy Loam,Zaid,457.0,10.7,5.94,137.5,108.1,290.0,Tomato
Loamy,Rabi,2098.8,17.5,7.75,147.3,34.6,287.0,Chickpea
Loamy,Zaid,442.2,18.9,5.09,320.8,46.8,129.3,Tomato
Sandy Loam,Zaid,1445.3,23.6,5.95,312.0,40.5,148.8,Tomato
Alluvial,Rabi,251.9,23.9,5.08,336.5,34.7,128.2,Potato
Sandy Loam,Kharif,1913.7,14.8,8.98,141.4,49.3,56.6,Maize
Black Soil,Zaid,1088.5,12.7,6.77,70.1,117.1,155.8,Chickpea
Sandy Loam,Zaid,1313.8,21.8,4.68,197.2,115.4,239.3,Tomato
Black Soil,Rabi,2003.7,37.9,7.34,83.7,51.6,95.3,Chickpea
Clay,Zaid,752.6,25.0,6.73,219.2,15.8,189.6,Rice
Sandy Loam,Kharif,2298.0,25.6,5.15,80.2,114.8,260.1,Groundnut
Loamy,Rabi,410.0,26.5,6.48,266.4,90.2,123.3,Wheat
Loamy,Rabi,468.7,12.6,6.59,248.4,103.1,287.0,Chickpea
Alluvial,Kharif,1716.1,15.1,7.03,260.6,28.5,208.0,Maize
Black Soil,Kharif,1936.7,39.3,8.44,165.4,105.4,125.9,Cotton
Clay,Kharif,1870.7,30.8,5.11,207.2,67.4,284.6,Rice
Loamy,Rabi,621.2,17.5,6.37,184.1,78.3,155.5,Mustard
Clay,Zaid,1362.0,13.4,7.16,263.8,24.7,177.5,Rice
Loamy,Kharif,2220.5,24.3,8.68,180.3,40.6,41.4,Groundnut
Clay,Zaid,690.5,37.0,7.11,145.8,60.5,62.7,Rice
Loamy,Zaid,1249.9,30.1,7.09,110.4,45.5,34.6,Tomato
Clay,Kharif,831.4,13.3,5.99,324.5,54.9,148.2,Rice
Sandy Loam,Rabi,1558.8,10.7,5.34,141.9,65.6,160.8,Mustard
Loamy,Kharif,1915.1,13.1,4.96,156.2,44.6,62.9,Maize
Clay Loam,Kharif,1942.4,36.9,8.05,223.4,71.1,200.9,Soybean
Clay,Kharif,2151.4,16.4,4.86,267.5,51.6,165.1,Rice
Clay Loam,Rabi,1354.7,34.3,6.16,256.2,66.2,295.7,Wheat
Clay,Kharif,1017.4,36.8,4.52,137.1,40.1,142.8,Rice
Black Soil,Kharif,1590.4,39.3,8.28,313.4,110.0,43.3,Cotton
Alluvial,Kharif,1635.2,20.3,6.28,262.7,108.7,238.3,Rice
Sandy Loam,Kharif,2049.5,19.6,6.41,295.2,12.0,87.8,Maize
Clay,Kharif,2300.8,19.9,7.13,300.7,89.5,138.5,Rice
Clay,Rabi,2293.3,17.6,8.17,135.6,82.9,211.3,Rice
Clay Loam,Zaid,2453.9,24.8,5.21,193.1,55.9,186.2,Onion
Sandy Loam,Kharif,1395.2,34.9,8.7,31.7,29.6,33.3,Groundnut
Clay,Zaid,1686.0,15.9,4.62,337.9,70.2,105.7,Rice
Alluvial,Zaid,1798.9,13.5,6.24,118.0,53.9,266.4,Rice
Clay Loam,Kharif,720.9,18.3,4.53,293.4,39.5,33.0,Soybean
Sandy Loam,Rabi,831.8,13.2,4.91,298.1,25.3,162.0,Mustard
Clay Loam,Kharif,1319.8,36.3,4.85,230.7,119.6,104.3,Soybean
Clay,Zaid,630.2,27.1,6.8,256.8,44.6,259.8,Rice
Loamy,Zaid,1254.2,11.3,7.13,202.6,80.8,259.0,Onion
Sandy Loam,Kharif,965.9,15.6,4.79,298.8,38.9,178.3,Groundnut
Clay Loam,Kharif,227.2,10.9,7.83,65.0,18.5,248.7,Soybean
Alluvial,Zaid,1090.8,38.3,5.96,344.3,82.8,167.6,Sugarcane
Clay Loam,Kharif,1484.0,17.9,6.21,89.1,88.6,130.1,Soybean
Red Soil,Zaid,1295.8,39.5,6.26,270.0,13.3,162.4,Groundnut
Red Soil,Zaid,896.5,28.8,6.58,337.9,109.0,41.4,Cotton
Alluvial,Kharif,940.1,35.1,5.74,207.9,72.2,292.3,Maize
Sandy Loam,Kharif,1250.5,20.5,5.64,219.7,110.5,191.2,Maize
Red Soil,Rabi,892.9,22.1,5.66,100.3,81.5,244.8,Cotton
Sandy Loam,Rabi,272.8,31.7,7.24,343.6,75.5,200.4,Potato
Black Soil,Rabi,1490.7,24.9,5.85,177.6,39.2,284.5,Chickpea
Clay,Rabi,464.6,17.5,6.2,63.4,38.6,188.7,Rice
Clay,Zaid,1009.2,36.2,5.9,244.5,107.3,30.5,Rice
Clay,Zaid,867.0,29.0,5.8,168.0,63.8,293.1,Rice
Red Soil,Zaid,1639.0,13.2,5.28,329.2,58.6,221.0,Groundnut
Clay Loam,Rabi,1176.8,23.5,5.07,80.7,100.7,217.5,Onion
Loamy,Kharif,347.8,29.6,8.67,269.5,64.8,98.8,Maize
Red Soil,Zaid,1149.6,13.2,5.53,314.8,34.8,184.2,Cotton
Clay,Rabi,2171.5,15.0,6.04,116.5,104.3,199.6,Rice
Red Soil,Zaid,772.0,37.4,6.51,70.8,28.1,129.7,Cotton
Black Soil,Kharif,2089.5,29.5,6.55,100.9,37.6,167.8,Cotton
Sandy Loam,Kharif,1268.1,31.6,6.09,181.6,78.7,171.5,Groundnut
Sandy Loam,Rabi,2465.0,36.8,5.13,330.2,37.4,297.2,Mustard
Alluvial,Rabi,1180.6,27.5,6.48,95.0,50.6,115.7,Potato
Clay,Rabi,643.0,30.3,7.39,179.5,74.5,115.8,Rice
Clay Loam,Kharif,1049.9,12.2,7.89,275.1,86.7,78.1,Soybean
Clay,Rabi,1820.3,36.1,6.14,315.3,95.4,241.5,Rice
Red Soil,Rabi,1855.0,36.9,7.6,193.2,25.8,285.2,Groundnut
Alluvial,Rabi,2467.6,29.8,6.84,335.7,61.9,168.9,Mustard
Black Soil,Kharif,804.2,31.2,8.02,169.8,90.2,59.7,Cotton
Loamy,Kharif,2092.6,27.6,7.53,105.6,41.1,111.2,Groundnut
Red Soil,Rabi,1771.9,33.9,7.64,135.8,27.3,184.0,Groundnut
Clay,Zaid,1528.6,33.2,6.29,118.8,27.6,126.2,Rice
Sandy Loam,Kharif,2290.8,11.2,6.87,150.0,105.3,31.4,Maize
Loamy,Kharif,594.8,38.8,6.85,310.2,57.3,273.7,Rice
Black Soil,Rabi,2348.4,11.9,7.33,76.3,34.7,108.4,Chickpea
Sandy Loam,Zaid,645.3,13.1,6.12,142.0,79.0,201.6,Tomato
Red Soil,Kharif,2315.3,33.1,5.45,186.5,34.6,103.6,Groundnut
Alluvial,Rabi,1524.4,13.2,8.11,290.3,42.0,242.9,Potato
Alluvial,Zaid,230.3,35.2,5.8,89.1,22.1,222.2,Wheat
Clay Loam,Kharif,1194.5,19.1,6.3,211.6,13.2,283.4,Soybean
Black Soil,Rabi,1294.9,27.9,8.75,135.7,71.0,43.8,Chickpea
Clay Loam,Rabi,1757.9,36.1,7.04,63.4,69.5,244.5,Chickpea
Alluvial,Zaid,1005.7,23.5,4.99,258.1,105.9,237.0,Sugarcane
Red Soil,Zaid,2150.2,16.4,6.28,31.2,33.1,246.8,Groundnut
Black Soil,Rabi,1230.6,11.6,8.63,262.7,50.4,141.2,Chickpea
Loamy,Rabi,1409.2,11.3,5.33,250.1,97.8,69.4,Wheat
Black Soil,Zaid,1998.3,25.9,6.73,165.3,75.8,210.8,Cotton
Black Soil,Zaid,2288.8,32.8,5.96,142.8,114.7,219.2,Soybean
Clay,Kharif,2309.0,13.3,6.39,296.6,85.2,253.1,Rice
Sandy Loam,Kharif,1928.5,15.4,8.69,287.9,95.3,207.2,Maize
Black Soil,Zaid,1351.6,28.8,8.05,85.8,29.4,113.9,Cotton
Loamy,Zaid,1933.9,13.9,6.8,119.6,80.7,78.5,Onion
Red Soil,Zaid,1886.4,22.0,5.44,271.0,44.3,202.3,Groundnut
Clay,Zaid,1966.9,25.7,4.78,48.2,86.1,233.8,Rice
Red Soil,Rabi,1385.6,36.9,7.8,50.1,80.7,121.8,Cotton
Loamy,Kharif,2246.7,11.1,8.55,83.1,94.1,258.7,Maize
Clay,Rabi,2000.8,36.9,8.57,226.5,102.3,49.3,Rice
Loamy,Zaid,1908.1,26.8,8.66,38.2,63.8,219.4,Onion
Sandy Loam,Zaid,2293.5,30.5,7.71,264.2,70.5,139.4,Onion
Alluvial,Zaid,380.9,33.6,5.56,137.3,67.8,219.2,Maize
Clay Loam,Zaid,1761.0,26.7,5.18,172.8,27.2,56.6,Onion
Alluvial,Kharif,2035.8,10.7,4.76,212.1,40.8,150.9,Maize
Loamy,Rabi,431.5,37.3,5.48,334.2,86.3,220.2,Potato
Sandy Loam,Zaid,2318.0,21.6,7.01,324.5,75.7,281.3,Tomato
Clay,Zaid,2047.9,29.5,8.19,264.8,53.0,246.9,Rice
Loamy,Zaid,1026.9,32.8,6.19,271.7,96.6,190.0,Tomato
Clay Loam,Zaid,1576.4,20.0,8.41,112.6,107.6,196.7,Onion
Alluvial,Rabi,1302.7,30.5,5.28,32.9,107.8,37.1,Mustard
Loamy,Zaid,1720.6,18.2,5.45,191.6,27.8,33.2,Tomato
Clay Loam,Kharif,336.1,31.5,5.47,70.9,35.7,234.4,Soybean
Alluvial,Zaid,1639.1,18.1,6.76,337.0,96.1,259.2,Cotton
Clay Loam,Zaid,865.3,29.6,7.66,126.5,118.1,69.8,Onion
Sandy Loam,Rabi,803.7,25.6,4.87,341.8,64.4,102.6,Mustard
Red Soil,Rabi,1071.6,32.4,8.68,172.4,110.7,80.1,Cotton
Red Soil,Kharif,1933.9,36.0,8.41,281.3,75.1,276.7,Groundnut
Loamy,Zaid,1311.6,10.5,6.28,165.3,67.7,109.2,Onion
Clay Loam,Rabi,1336.8,11.4,8.42,306.3,71.4,152.4,Wheat
Clay,Kharif,2314.2,13.8,4.69,268.8,72.3,204.7,Rice
Black Soil,Zaid,2275.4,10.4,4.57,204.4,52.7,57.6,Soybean
Loamy,Kharif,2216.5,21.6,7.38,226.0,63.0,219.5,Maize
Sandy Loam,Kharif,1587.2,29.3,5.2,305.3,112.1,218.1,Maize
Clay,Zaid,1638.7,22.4,5.38,40.0,106.6,211.7,Rice
Loamy,Rabi,1201.8,35.6,4.83,196.8,26.6,271.4,Potato
Alluvial,Rabi,409.9,12.3,5.21,60.9,48.6,208.3,Potato
Clay Loam,Kharif,1878.7,37.0,7.85,69.0,116.4,97.2,Soybean
Sandy Loam,Kharif,1765.4,22.9,6.02,258.7,27.9,196.8,Groundnut
Loamy,Zaid,1892.3,12.0,6.63,175.2,78.0,68.0,Onion
Red Soil,Rabi,1758.1,39.6,4.92,164.7,53.7,122.1,Cotton
Alluvial,Rabi,2274.2,36.9,5.19,283.8,24.2,154.5,Wheat
Clay,Kharif,2136.2,13.8,5.98,149.9,56.2,286.3,Rice
Sandy Loam,Zaid,2024.4,28.5,7.27,109.1,43.4,183.9,Tomato
Alluvial,Rabi,1614.6,21.9,6.46,215.6,54.0,269.2,Mustard
Clay Loam,Rabi,1452.5,19.1,6.22,54.6,78.7,224.0,Chickpea
Red Soil,Rabi,2078.7,23.2,7.85,257.0,62.0,97.0,Cotton
Clay,Zaid,1914.2,30.7,5.47,320.4,45.5,252.9,Rice
Sandy Loam,Kharif,645.4,16.1,4.93,98.6,57.4,190.3,Groundnut
Loamy,Kharif,391.4,39.7,7.3,59.0,74.0,170.9,Groundnut
Alluvial,Kharif,1489.0,35.4,8.43,231.6,109.2,109.0,Cotton
Alluvial,Kharif,659.5,28.4,5.16,266.6,37.9,159.4,Rice
Loamy,Rabi,1836.9,34.0,5.65,187.6,95.5,131.6,Mustard
Alluvial,Rabi,588.8,35.6,6.31,340.4,98.6,292.0,Wheat
Black Soil,Rabi,358.9,30.7,8.56,287.8,51.5,127.9,Chickpea
Alluvial,Kharif,2346.7,25.9,6.68,30.7,57.0,191.4,Rice
Clay,Zaid,315.0,12.6,8.8,151.6,31.7,263.1,Rice
Black Soil,Rabi,2307.2,29.5,8.83,331.5,95.4,199.6,Chickpea
Clay,Zaid,1287.4,15.4,8.76,330.9,36.2,187.2,Rice
Clay,Zaid,843.3,16.5,5.45,233.6,106.7,153.7,Rice
Red Soil,Kharif,2338.3,35.9,5.42,101.0,114.8,286.5,Groundnut
Red Soil,Rabi,1780.3,20.1,5.86,164.7,42.2,298.0,Groundnut
Clay,Kharif,1228.2,17.2,8.17,135.9,86.4,178.0,Rice
Clay Loam,Zaid,1669.0,17.4,7.4,279.5,62.5,203.8,Onion
Red Soil,Zaid,2114.1,26.1,6.5,119.3,65.1,278.4,Cotton
Red Soil,Rabi,1326.1,38.1,6.05,233.3,103.6,175.1,Groundnut
Clay,Kharif,1609.6,24.6,6.49,184.6,17.3,287.1,Rice
Red Soil,Zaid,1702.6,19.4,6.46,309.4,108.4,228.6,Groundnut
Clay,Kharif,1030.6,26.0,8.53,325.8,54.4,233.8,Rice
Alluvial,Kharif,2097.2,37.0,6.6,110.9,10.2,47.3,Rice
Black Soil,Kharif,1887.8,23.5,8.3,128.8,35.1,85.3,Cotton
Sandy Loam,Zaid,1469.1,21.2,8.06,177.2,115.0,42.2,Onion
