crop,season,humidity_percent,temperature_c,rainfall_mm,disease_risk,disease_occurred
Soybean,Zaid,71.4,21.8,773.8,Low,None
Potato,Kharif,63.4,20.5,503.6,Low,None
Potato,Rabi,40.1,34.5,1127.9,Low,None
Rice,Rabi,47.9,18.8,437.0,Low,None
Wheat,Zaid,40.7,25.9,1987.8,Low,None
Rice,Kharif,87.1,35.9,1061.5,Medium,Bacterial Leaf Blight
Potato,Rabi,73.2,19.4,993.7,Medium,Early Blight
Tomato,Kharif,81.8,30.4,1468.4,High,Late Blight
Rice,Kharif,87.9,23.5,1699.5,High,Bacterial Leaf Blight
Potato,Zaid,79.0,28.8,1997.0,High,Early Blight
Tomato,Zaid,52.4,21.0,1024.9,Low,None
Wheat,Zaid,93.8,27.4,1433.9,High,Rust
Wheat,Kharif,71.5,28.8,1723.7,High,Loose Smut
Potato,Zaid,88.2,32.0,1834.9,High,Early Blight
Potato,Kharif,60.3,23.4,1862.4,Medium,Early Blight
Wheat,Zaid,94.7,20.7,527.2,Medium,None
Potato,Zaid,58.3,19.9,1761.2,Low,None
Tomato,Rabi,55.2,27.6,1568.6,Low,None
Cotton,Rabi,77.0,36.7,1168.0,Medium,Bollworm
Potato,Zaid,68.4,19.1,379.1,Low,None
Rice,Kharif,72.8,27.9,1902.0,High,Bacterial Leaf Blight
Soybean,Rabi,46.7,22.5,1619.0,Low,None
Soybean,Rabi,93.1,26.3,738.3,High,Rust
Soybean,Zaid,43.2,19.5,629.6,Low,None
Wheat,Kharif,76.9,24.5,1336.2,High,Loose Smut
Potato,Kharif,60.8,15.1,1543.5,Medium,Early Blight
Wheat,Kharif,61.7,32.0,783.7,Low,None
Soybean,Zaid,54.8,23.6,1153.5,Low,None
Potato,Rabi,51.5,19.3,1278.3,Medium,Late Blight
Wheat,Rabi,57.8,27.9,814.8,Low,None
Soybean,Zaid,46.3,15.4,1215.9,Medium,Yellow Mosaic
Wheat,Kharif,64.4,38.0,815.1,Medium,Rust
Rice,Kharif,75.7,21.6,1591.9,High,Brown Spot
Tomato,Zaid,63.7,16.1,1470.6,Medium,None
Cotton,Rabi,54.6,17.8,1877.2,Medium,Bacterial Blight
Cotton,Rabi,43.1,21.2,567.3,Low,None
Tomato,Rabi,75.4,29.0,816.3,High,Late Blight
Wheat,Kharif,42.5,34.8,1633.3,Medium,None
Tomato,Rabi,76.1,33.2,1043.7,Medium,None
Tomato,Zaid,93.7,27.9,1804.3,High,Early Blight
Tomato,Rabi,84.8,28.5,1822.5,High,Fruit Borer
Wheat,Zaid,79.7,29.7,613.8,Medium,Powdery Mildew
Tomato,Kharif,62.3,31.5,497.0,Low,None
Soybean,Zaid,86.5,19.2,1886.7,Medium,None
Cotton,Zaid,46.9,15.3,1886.7,Medium,Whitefly
Potato,Rabi,74.8,30.9,242.3,Low,None
Rice,Rabi,94.5,23.9,1619.6,High,Bacterial Leaf Blight
Rice,Zaid,51.5,15.4,1276.3,Low,None
Soybean,Rabi,52.8,26.5,203.9,Low,None
Wheat,Kharif,85.8,16.9,589.9,Medium,Loose Smut
Soybean,Kharif,86.6,28.8,828.7,High,Yellow Mosaic
Tomato,Zaid,90.5,32.5,662.9,Medium,None
Soybean,Zaid,90.7,37.8,851.5,Medium,Yellow Mosaic
Cotton,Zaid,87.6,17.5,661.0,Low,None
Potato,Zaid,89.6,24.7,1676.3,High,Early Blight
Rice,Kharif,93.5,32.9,1489.6,High,Bacterial Leaf Blight
Tomato,Zaid,90.2,28.4,1565.1,High,Late Blight
Soybean,Kharif,46.2,35.6,802.1,Low,None
Cotton,Rabi,74.7,20.7,342.1,Low,None
Cotton,Rabi,79.8,35.5,1792.9,Medium,Bollworm
Rice,Zaid,80.2,31.7,1020.7,Medium,None
Soybean,Kharif,69.2,17.5,1412.4,Medium,Yellow Mosaic
Rice,Rabi,71.4,36.7,774.8,Low,None
Wheat,Kharif,54.0,36.8,1287.7,Medium,Rust
Soybean,Zaid,85.4,37.1,1025.8,Medium,Yellow Mosaic
Rice,Zaid,87.8,19.0,905.9,Medium,Brown Spot
Tomato,Zaid,59.8,33.0,1843.5,Low,None
Soybean,Zaid,89.3,35.8,1488.2,Medium,None
Soybean,Zaid,73.4,17.3,620.5,Low,None
Tomato,Rabi,91.6,18.1,845.5,Medium,Fruit Borer
Tomato,Zaid,73.5,29.4,1869.6,High,Early Blight
Potato,Rabi,42.6,19.0,1208.0,Medium,None
Wheat,Zaid,86.2,19.9,406.6,Medium,Rust
Rice,Rabi,42.1,21.9,1937.3,Medium,Bacterial Leaf Blight
Rice,Rabi,94.6,37.0,668.9,Low,None
Soybean,Kharif,88.6,33.7,1115.1,High,Yellow Mosaic
Wheat,Kharif,93.9,34.6,793.7,Medium,None
Tomato,Zaid,53.1,17.3,809.2,Low,None
Tomato,Rabi,57.6,18.5,1471.3,Low,None
Soybean,Zaid,52.8,20.8,807.3,Low,None
Tomato,Zaid,41.8,25.6,1047.2,Low,None
Cotton,Zaid,52.8,20.7,363.2,Low,None
Tomato,Kharif,84.2,34.1,1035.6,High,Fruit Borer
Wheat,Zaid,86.4,20.4,1630.6,High,Loose Smut
Wheat,Rabi,47.5,38.0,1690.0,Low,None
Wheat,Kharif,77.4,24.3,1239.0,High,Rust
Cotton,Kharif,47.1,24.3,1283.5,Medium,Whitefly
Tomato,Rabi,63.6,37.6,1700.9,Medium,None
Soybean,Rabi,73.4,27.4,1141.9,Medium,None
Wheat,Rabi,49.2,26.9,1185.3,Low,None
Wheat,Kharif,69.1,30.2,1032.9,Medium,Powdery Mildew
Wheat,Zaid,48.6,27.1,1909.7,Medium,None
Rice,Rabi,44.0,20.1,899.1,Low,None
Tomato,Zaid,55.5,22.6,1297.0,Low,None
Potato,Rabi,44.2,37.4,1574.3,Medium,Late Blight
Potato,Kharif,58.0,20.0,1802.4,Medium,Late Blight
Wheat,Rabi,83.7,27.0,1597.2,High,Rust
Potato,Rabi,63.4,25.7,1444.9,Medium,Early Blight
Rice,Zaid,90.6,24.9,1172.9,High,Blast
Cotton,Kharif,46.9,34.3,1816.5,Medium,Whitefly
Rice,Kharif,48.4,24.2,436.9,Low,None
Potato,Zaid,94.4,19.6,391.4,Medium,Early Blight
Soybean,Zaid,72.6,19.0,235.3,Low,None
Potato,Zaid,63.8,24.0,355.6,Low,None
Cotton,Zaid,56.6,27.3,1571.4,Low,None
Potato,Kharif,70.0,19.9,1788.4,Medium,Early Blight
Tomato,Kharif,80.8,37.2,840.1,High,Late Blight
Wheat,Rabi,77.0,35.9,1956.1,High,Powdery Mildew
Rice,Kharif,40.5,27.5,1722.3,Medium,Blast
Soybean,Rabi,71.1,21.7,233.0,Low,None
Soybean,Zaid,56.1,16.4,727.5,Low,None
Rice,Zaid,67.7,15.3,1410.6,Medium,Bacterial Leaf Blight
Cotton,Zaid,44.8,37.2,808.7,Low,None
Tomato,Zaid,47.7,33.2,714.1,Low,None
Tomato,Zaid,57.2,28.1,1968.8,Medium,Late Blight
Tomato,Zaid,55.7,26.0,780.6,Low,None
Wheat,Rabi,72.2,18.3,409.3,Low,None
Rice,Zaid,76.6,19.2,1479.7,High,Brown Spot
Cotton,Zaid,71.7,31.7,1088.1,Low,None
Tomato,Rabi,78.7,36.6,1122.7,Medium,Early Blight
Rice,Rabi,46.1,28.9,1369.5,Medium,Blast
Rice,Zaid,84.0,20.4,958.4,Medium,Bacterial Leaf Blight
Tomato,Zaid,65.3,22.6,1580.7,Medium,Late Blight
Wheat,Rabi,79.1,16.8,1614.8,High,Rust
Wheat,Rabi,61.6,37.9,1075.9,Medium,None
Soybean,Kharif,68.2,37.6,1698.2,High,Pod Borer
Rice,Rabi,70.5,29.1,1028.1,Medium,Brown Spot
Soybean,Kharif,74.1,16.3,538.8,Medium,None
Rice,Rabi,83.8,24.9,1198.8,High,Blast
Rice,Rabi,68.2,32.8,1085.1,Medium,Bacterial Leaf Blight
Potato,Rabi,46.1,29.5,431.0,Low,None
Potato,Kharif,68.1,25.8,1413.1,High,Late Blight
Potato,Zaid,68.7,31.4,610.6,Low,None
Cotton,Rabi,63.0,29.0,1059.5,Low,None
Rice,Rabi,61.7,25.1,1945.6,Medium,Blast
Potato,Zaid,74.5,32.5,674.7,Low,None
Tomato,Zaid,84.2,31.5,212.8,Low,None
Rice,Rabi,70.3,33.7,1915.1,Medium,Blast
Rice,Zaid,73.2,24.1,596.1,Medium,Bacterial Leaf Blight
Soybean,Kharif,49.0,25.6,883.9,Low,None
Wheat,Rabi,80.3,33.7,423.3,Medium,Powdery Mildew
Rice,Rabi,80.5,33.4,601.1,Low,None
Rice,Zaid,43.8,17.6,1334.4,Low,None
Potato,Zaid,41.2,18.2,806.8,Low,None
Cotton,Rabi,88.0,27.1,604.7,Medium,Whitefly
Wheat,Rabi,55.0,19.1,1049.4,Low,None
Tomato,Rabi,40.2,17.1,216.4,Low,None
Tomato,Zaid,59.0,27.5,1311.9,Low,None
Soybean,Kharif,73.2,31.6,506.3,Medium,Yellow Mosaic
Rice,Zaid,75.4,16.0,1511.9,High,Bacterial Leaf Blight
Wheat,Kharif,92.2,15.1,1641.3,High,Powdery Mildew
Wheat,Rabi,85.6,32.8,572.9,Medium,None
Rice,Kharif,62.1,19.5,1898.2,High,Bacterial Leaf Blight
Soybean,Zaid,43.6,27.2,1654.5,Low,None
Soybean,Kharif,40.7,28.8,977.3,Low,None
Cotton,Rabi,74.1,36.3,757.5,Low,None
Rice,Kharif,94.8,35.1,708.5,Medium,Blast
Wheat,Kharif,59.6,35.5,780.3,Low,None
Wheat,Kharif,84.5,24.0,1881.3,High,Rust
Cotton,Zaid,73.0,31.8,547.0,Low,None
Soybean,Kharif,45.7,28.9,1514.4,Medium,Yellow Mosaic
Rice,Kharif,62.2,32.1,1246.9,High,Blast
Wheat,Kharif,72.3,35.4,1847.7,Medium,Loose Smut
Wheat,Kharif,66.9,15.6,820.9,Medium,Loose Smut
Cotton,Rabi,43.7,27.7,1525.4,Medium,Bacterial Blight
Potato,Kharif,71.5,16.7,346.0,Low,None
Soybean,Zaid,55.0,19.7,518.0,Low,None
Wheat,Kharif,41.4,23.9,1662.9,Medium,Loose Smut
Potato,Zaid,61.0,30.3,1052.0,Low,None
Cotton,Rabi,65.7,33.5,1489.4,Medium,Bacterial Blight
Cotton,Zaid,67.6,18.5,1606.3,Medium,Bacterial Blight
Soybean,Rabi,60.2,28.9,970.3,Low,None
Potato,Zaid,73.0,24.3,227.6,Medium,None
Potato,Kharif,86.3,34.2,847.5,Medium,Late Blight
Potato,Kharif,81.2,36.2,740.7,Medium,Late Blight
Potato,Rabi,43.8,19.4,501.6,Low,None
Rice,Zaid,56.7,25.2,1855.1,Low,None
Soybean,Kharif,81.9,29.4,1565.5,High,Rust
Cotton,Zaid,91.8,19.0,205.6,Low,None
Potato,Kharif,80.9,33.8,1887.5,High,Early Blight
Soybean,Zaid,87.5,28.3,1028.9,High,Rust
Potato,Zaid,50.0,24.2,294.6,Low,None
Rice,Kharif,94.7,25.6,1294.9,High,Brown Spot
Cotton,Rabi,53.7,32.7,625.7,Low,None
Soybean,Zaid,57.5,25.5,1961.2,Low,None
Soybean,Kharif,87.4,17.2,1334.5,High,Rust
Soybean,Zaid,65.9,27.8,280.9,Low,None
Cotton,Kharif,65.3,28.2,1262.4,Medium,Bollworm
Potato,Rabi,52.3,30.8,384.2,Low,None
Cotton,Kharif,43.0,35.2,481.4,Low,None
Potato,Kharif,86.4,36.2,1502.0,High,Early Blight
Soybean,Zaid,62.9,16.5,232.4,Low,None
Rice,Kharif,52.8,21.4,1191.5,Medium,Bacterial Leaf Blight
Wheat,Kharif,78.5,31.2,1713.9,High,Rust
Cotton,Zaid,73.7,35.7,1366.6,Medium,Whitefly
Soybean,Rabi,52.0,22.4,1298.8,Low,None
Rice,Kharif,76.4,15.7,1669.3,High,Blast
Wheat,Zaid,50.4,17.8,1524.2,Low,None
Cotton,Zaid,74.6,31.4,1709.2,Medium,Bacterial Blight
Potato,Rabi,69.7,29.2,982.6,Medium,Late Blight
Soybean,Zaid,46.9,37.0,572.9,Low,None
Soybean,Zaid,51.3,33.9,727.3,Low,None
Potato,Zaid,52.7,28.8,442.8,Low,None
Tomato,Zaid,77.2,29.5,550.3,Medium,Fruit Borer
Soybean,Zaid,91.2,19.4,1802.0,High,Rust
Rice,Kharif,43.6,25.4,491.6,Low,None
Tomato,Kharif,75.2,22.6,1122.5,High,Early Blight
Potato,Kharif,73.1,18.3,1347.8,Medium,Early Blight
Soybean,Zaid,75.5,21.2,1942.9,Medium,Yellow Mosaic
Potato,Rabi,76.3,26.1,1342.3,High,Late Blight
Cotton,Zaid,94.1,33.8,803.4,Medium,Whitefly
Potato,Zaid,77.1,18.2,1919.5,Medium,Late Blight
Tomato,Zaid,64.5,17.5,474.5,Low,None
Rice,Kharif,56.8,21.3,1791.8,Medium,None
Tomato,Kharif,61.5,29.7,1262.9,High,Early Blight
Potato,Zaid,51.5,26.3,282.1,Low,None
Tomato,Zaid,62.0,25.2,807.2,Low,None
Tomato,Kharif,74.5,34.5,677.7,Low,None
Rice,Zaid,90.7,35.3,683.0,Medium,Bacterial Leaf Blight
Rice,Rabi,87.2,21.6,729.9,Medium,None
Wheat,Zaid,41.4,15.2,1496.3,Medium,None
Soybean,Zaid,59.9,35.7,936.0,Low,None
Tomato,Rabi,86.6,31.9,1126.6,Medium,None
Wheat,Rabi,74.5,15.7,940.7,Low,None
Potato,Zaid,91.9,27.6,1937.9,High,Late Blight
Rice,Rabi,88.6,16.7,831.7,Medium,Bacterial Leaf Blight
Rice,Rabi,72.5,28.9,1862.9,High,Blast
Wheat,Rabi,90.9,35.8,1013.3,Medium,Loose Smut
Rice,Kharif,57.1,18.0,1645.2,Medium,Brown Spot
Rice,Rabi,41.2,17.5,1751.0,Medium,None
Potato,Kharif,82.4,17.6,1431.1,High,Late Blight
Wheat,Zaid,58.4,35.2,1711.1,Medium,Powdery Mildew
Cotton,Rabi,55.6,35.0,991.6,Low,None
Cotton,Rabi,53.9,16.4,793.1,Low,None
Soybean,Rabi,92.7,18.5,1600.2,High,Pod Borer
Soybean,Kharif,56.7,24.1,1280.7,Medium,Rust
Soybean,Zaid,92.9,19.8,1254.1,High,Yellow Mosaic
Tomato,Kharif,70.4,32.9,1074.8,Medium,Late Blight
Cotton,Rabi,43.0,31.1,1080.8,Low,None
Rice,Zaid,58.6,31.9,313.3,Low,None
Rice,Kharif,65.8,35.1,534.1,Low,None
Potato,Kharif,58.0,16.1,1465.0,Medium,Late Blight
Potato,Rabi,47.3,32.6,617.2,Low,None
Soybean,Kharif,59.5,15.1,1575.2,Medium,Rust
Potato,Zaid,63.4,17.1,274.4,Low,None
Soybean,Rabi,83.6,31.8,1803.5,High,Pod Borer
Cotton,Rabi,85.9,31.9,464.4,Low,None
Potato,Rabi,75.3,36.1,1515.8,High,Late Blight
Cotton,Rabi,62.6,22.7,502.1,Low,None
Wheat,Zaid,84.1,28.0,402.5,Medium,Loose Smut
Wheat,Kharif,63.6,17.5,561.0,Medium,Powdery Mildew
Wheat,Zaid,52.6,37.6,1566.3,Medium,None
Soybean,Rabi,49.8,28.4,377.7,Low,None
Rice,Zaid,68.1,23.9,282.1,Low,None
Wheat,Kharif,76.4,28.2,287.9,High,Loose Smut
Soybean,Zaid,82.5,16.5,565.3,Medium,Yellow Mosaic
Rice,Zaid,85.9,18.6,1156.5,Medium,None
Tomato,Kharif,63.3,28.5,781.9,Medium,Early Blight
Wheat,Zaid,54.8,36.2,1225.3,Medium,Powdery Mildew
Wheat,Rabi,74.1,20.9,1787.7,Medium,Loose Smut
Rice,Kharif,48.9,35.9,436.8,Low,None
Cotton,Rabi,43.4,36.2,345.3,Low,None
Tomato,Kharif,50.4,27.6,567.2,Low,None
Rice,Rabi,72.2,29.5,1623.0,High,Blast
Cotton,Rabi,73.2,15.8,1458.5,Medium,Whitefly
Potato,Zaid,57.8,29.9,1601.7,Low,None
Potato,Zaid,63.0,21.6,658.6,Low,None
Wheat,Kharif,71.1,17.6,1115.8,Medium,Loose Smut
Tomato,Kharif,87.2,32.4,263.9,Medium,None
Potato,Zaid,48.7,28.5,344.0,Low,None
Potato,Kharif,94.0,22.0,1797.2,High,Late Blight
Soybean,Rabi,74.7,15.9,539.6,Low,None
Cotton,Rabi,86.0,24.8,394.8,High,Bacterial Blight
Soybean,Rabi,54.7,33.3,1264.7,Medium,Pod Borer
Cotton,Rabi,88.4,22.1,834.6,High,Bacterial Blight
Cotton,Kharif,69.3,29.3,783.3,Medium,Bollworm
Tomato,Zaid,44.3,34.3,996.5,Low,None
Potato,Kharif,62.0,26.1,1318.9,Medium,Late Blight
Tomato,Kharif,85.9,16.5,899.6,Medium,Late Blight
Tomato,Zaid,48.9,19.2,1896.0,Medium,Late Blight
Tomato,Zaid,76.8,30.1,1185.6,Medium,Fruit Borer
Rice,Kharif,86.5,33.6,1560.9,High,Bacterial Leaf Blight
Rice,Rabi,58.0,30.4,1128.0,Low,None
Wheat,Zaid,64.2,26.7,319.7,Low,None
Wheat,Zaid,81.6,34.5,1463.1,High,Loose Smut
Rice,Kharif,41.4,17.6,990.2,Low,None
Soybean,Rabi,54.9,16.2,1718.1,Low,None
Tomato,Zaid,82.2,15.4,1735.5,High,Late Blight
Tomato,Kharif,41.9,20.8,911.7,Medium,None
Potato,Zaid,47.9,33.3,801.4,Low,None
Potato,Kharif,53.6,30.2,448.8,Low,None
Cotton,Rabi,77.8,16.4,376.2,Low,None
Soybean,Zaid,91.5,17.2,276.8,Medium,Rust
Cotton,Rabi,78.5,28.3,1094.0,High,Bollworm
Rice,Kharif,62.6,33.7,1999.9,Medium,Bacterial Leaf Blight
Cotton,Kharif,91.3,21.5,284.1,Medium,Bollworm
Wheat,Rabi,72.9,17.8,404.6,Low,None
Rice,Zaid,81.6,15.2,939.6,Medium,Brown Spot
Rice,Kharif,92.7,24.2,935.6,High,Brown Spot
Tomato,Rabi,46.6,28.4,454.9,Low,None
Cotton,Kharif,83.0,34.1,1598.1,High,Whitefly
Potato,Zaid,93.4,34.3,368.4,Medium,Early Blight
Cotton,Rabi,83.7,38.0,445.9,Medium,Whitefly
Potato,Zaid,87.9,29.0,1985.2,High,Early Blight
Tomato,Zaid,91.2,16.6,887.8,Medium,Late Blight
Soybean,Zaid,44.7,26.5,1276.4,Low,None
Tomato,Zaid,81.7,27.7,1627.6,High,Fruit Borer
Tomato,Rabi,48.7,16.1,321.3,Low,None
Rice,Rabi,86.7,35.3,1854.6,High,Brown Spot
Cotton,Kharif,92.6,26.7,837.2,High,Bacterial Blight
Rice,Rabi,82.5,36.3,1514.1,High,Brown Spot
Rice,Kharif,78.3,15.6,1519.6,High,Bacterial Leaf Blight
Potato,Kharif,87.7,26.2,757.1,High,Late Blight
Soybean,Rabi,51.8,20.1,1276.9,Medium,Rust
Tomato,Kharif,65.3,23.6,1238.3,High,Fruit Borer
Wheat,Rabi,59.6,21.8,1650.3,Low,None
Rice,Zaid,87.4,20.9,1763.2,High,Blast
Potato,Zaid,60.2,22.3,1298.5,Medium,Early Blight
Cotton,Kharif,77.1,22.4,1910.5,High,Whitefly
Tomato,Rabi,67.7,29.5,608.7,Low,None
Rice,Kharif,68.2,28.0,493.1,Medium,None
Potato,Rabi,52.0,17.1,447.7,Low,None
Rice,Rabi,72.4,30.0,1408.6,Medium,Brown Spot
Potato,Kharif,74.1,31.1,947.5,Medium,None
Cotton,Kharif,81.2,30.4,1648.0,High,Bollworm
Tomato,Rabi,83.4,32.0,1055.5,Medium,Late Blight
Soybean,Zaid,84.1,32.0,631.4,Medium,Rust
Soybean,Zaid,84.6,15.7,1677.2,Medium,None
Rice,Rabi,55.1,37.6,615.7,Low,None
Wheat,Zaid,68.2,30.9,398.9,Low,None
Soybean,Zaid,53.7,34.1,323.0,Low,None
Rice,Rabi,51.8,21.5,450.5,Low,None
Wheat,Zaid,71.1,21.2,1304.6,Medium,Loose Smut
Soybean,Kharif,81.7,25.9,1991.5,High,Pod Borer
Rice,Rabi,89.7,23.4,418.5,High,Brown Spot
Soybean,Rabi,49.6,37.6,606.1,Low,None
Potato,Rabi,70.3,26.2,498.3,Medium,Early Blight
Rice,Rabi,43.6,38.0,581.5,Low,None
Wheat,Kharif,90.3,21.0,1105.7,High,Loose Smut
Wheat,Zaid,62.8,29.6,430.2,Low,None
Soybean,Zaid,77.9,35.8,1545.0,High,Pod Borer
Soybean,Kharif,63.1,34.5,872.7,Medium,Rust
Tomato,Kharif,91.4,21.7,1346.8,High,Late Blight
Wheat,Zaid,77.0,26.1,1758.3,High,Loose Smut
Rice,Kharif,87.4,34.5,1880.3,High,Brown Spot
Cotton,Zaid,47.5,20.1,1154.6,Low,None
Rice,Kharif,47.9,37.1,361.9,Low,None
Soybean,Kharif,90.9,17.3,1206.5,High,Rust
Potato,Rabi,48.4,24.4,1233.0,Medium,None
Cotton,Kharif,61.5,22.3,871.9,Medium,Bollworm
Wheat,Zaid,54.7,21.0,1756.0,Medium,Loose Smut
Rice,Rabi,54.6,27.5,1854.2,Medium,Brown Spot
Rice,Rabi,74.6,29.8,969.3,Medium,None
Cotton,Zaid,77.2,23.3,623.7,Medium,None
Rice,Zaid,83.8,33.1,577.8,Medium,None
Tomato,Zaid,81.6,35.7,1692.2,High,Late Blight
Potato,Zaid,61.0,30.4,432.6,Low,None
Cotton,Rabi,94.9,15.1,1692.7,High,Bollworm
Cotton,Rabi,50.9,24.1,448.1,Low,None
Wheat,Rabi,79.9,21.7,1779.3,High,Loose Smut
Cotton,Kharif,90.0,19.0,533.1,Medium,Whitefly
Wheat,Kharif,40.9,28.8,1292.8,Medium,None
Potato,Zaid,79.6,30.2,1037.8,Medium,None
Wheat,Rabi,86.5,24.8,1924.1,High,Powdery Mildew
Rice,Zaid,52.3,16.1,678.6,Low,None
Rice,Rabi,53.2,34.3,544.8,Low,None
Soybean,Rabi,88.9,35.1,1042.6,Medium,None
Tomato,Zaid,77.7,35.4,1588.4,High,Early Blight
Wheat,Kharif,85.3,34.5,1716.7,High,Powdery Mildew
Cotton,Kharif,58.1,18.4,1595.4,Medium,Whitefly
Soybean,Rabi,70.4,31.1,1059.0,Low,None
Soybean,Zaid,80.4,16.5,282.2,Medium,Yellow Mosaic
Tomato,Zaid,86.3,27.7,714.8,Medium,Late Blight
Rice,Kharif,53.0,35.6,1792.3,Medium,Blast
Tomato,Rabi,81.9,17.5,926.0,Medium,Late Blight
Rice,Zaid,75.7,22.6,1387.7,High,Brown Spot
Cotton,Rabi,64.9,28.6,1505.3,Medium,Bacterial Blight
Cotton,Zaid,60.4,16.1,1542.7,Medium,Whitefly
Cotton,Zaid,56.3,25.7,1309.7,Medium,Bacterial Blight
Soybean,Rabi,93.5,22.3,533.7,High,Yellow Mosaic
Tomato,Zaid,51.0,32.3,352.2,Low,None
Cotton,Rabi,67.9,18.0,642.9,Low,None
Wheat,Zaid,83.8,25.8,1994.7,High,Loose Smut
